AD-ED,Reporting,Jo Jorgensen Jeremy Cohen,Donald J. Trump Michael R. Pence,WRITE-IN,Howie Hawkins Angela Nicole Walker,Joseph R. Biden Kamala D. Harris,Brock Pierce Karla Ballard
23-045,60.00%,1,161,0,0,45,0
23-046,60.00%,0,144,0,0,43,0
23-047,60.00%,1,80,0,1,23,0
23-048,60.00%,1,93,2,1,33,0
23-049,60.00%,0,143,0,0,46,0
23-050,60.00%,3,68,1,0,70,1
23-051,60.00%,0,87,0,0,57,0
23-052,60.00%,0,119,0,1,94,1
23-053,99.00%,2,199,1,1,245,1
23-054,99.00%,1,189,2,2,207,0
23-055,87.50%,0,159,1,0,256,0
23-056,87.50%,0,51,0,0,105,0
23-057,87.50%,1,39,0,0,117,0
23-058,66.67%,0,48,0,0,120,0
23-059,66.67%,1,39,0,2,169,0
23-060,66.67%,0,52,0,0,177,0
23-061,99.00%,2,255,1,1,277,0
23-062,99.00%,0,235,1,0,238,0
23-063,99.00%,0,192,0,1,176,2
23-064,99.00%,0,263,0,0,235,0
23-065,99.00%,3,228,2,2,324,3
23-066,91.67%,0,44,0,2,123,0
23-067,91.67%,0,16,0,1,109,0
23-068,91.67%,0,26,0,0,117,1
23-069,99.00%,0,54,0,0,117,0
23-070,87.50%,0,117,0,0,289,0
23-071,99.00%,0,0,0,0,3,0
23-072,99.00%,0,0,0,0,0,0
23-073,99.00%,0,0,0,0,0,0
23-074,99.00%,0,0,0,0,0,0
23-075,99.00%,0,0,0,0,0,0
23-076,99.00%,0,0,0,0,0,0
23-077,99.00%,0,0,0,0,0,0
23-078,99.00%,0,0,0,0,0,0
23-079,99.00%,0,0,0,0,0,0
23-080,99.00%,0,0,0,0,0,0
23-081,99.00%,0,0,0,0,0,0
23-082,99.00%,0,0,0,0,0,0
23-083,99.00%,0,0,0,0,0,0
23-084,99.00%,2,166,1,1,210,1
23-085,99.00%,1,47,0,0,126,0
23-086,99.00%,1,64,0,1,106,0
23-087,99.00%,2,128,0,5,262,3
23-088,99.00%,0,115,3,1,223,0
23-089,66.67%,0,58,0,1,110,0
23-090,60.00%,1,115,0,0,32,0
23-091,40.00%,0,13,0,0,26,0
23-092,99.00%,3,182,0,0,116,0
23-093,99.00%,1,129,0,0,226,1
24-001,99.00%,0,31,0,0,87,0
24-002,99.00%,0,69,0,0,163,0
24-003,99.00%,1,70,0,0,148,0
24-004,99.00%,1,55,0,0,124,0
24-005,99.00%,0,56,2,1,170,0
24-006,99.00%,1,56,0,0,89,1
24-007,99.00%,0,56,0,1,148,0
24-008,99.00%,0,46,0,0,135,0
24-009,99.00%,0,8,0,0,8,0
24-010,99.00%,0,37,0,0,84,0
24-011,99.00%,0,33,0,4,106,0
24-012,99.00%,0,7,0,0,27,0
24-013,99.00%,1,49,0,0,215,0
24-014,99.00%,0,45,0,1,112,0
24-015,99.00%,2,61,0,0,104,0
24-016,99.00%,0,32,0,1,68,0
24-017,99.00%,2,207,2,0,216,0
24-018,99.00%,2,113,1,1,186,0
24-019,99.00%,1,83,0,1,162,0
24-020,99.00%,2,204,1,1,257,0
24-021,99.00%,3,194,1,3,236,0
24-022,99.00%,2,51,0,2,122,0
24-023,99.00%,1,39,0,0,30,0
24-024,99.00%,0,64,1,0,135,0
24-025,99.00%,0,102,1,1,136,0
24-026,99.00%,0,15,0,0,65,0
24-027,99.00%,0,24,1,0,303,0
24-028,71.43%,0,31,0,0,72,1
24-029,99.00%,2,30,0,1,259,1
24-030,99.00%,1,42,0,3,261,0
24-031,71.43%,0,21,0,0,72,0
24-032,71.43%,0,25,0,0,19,0
24-033,99.00%,1,73,0,0,60,0
24-034,99.00%,0,55,1,0,22,0
24-035,71.43%,0,19,0,0,112,0
24-036,99.00%,0,3,0,0,55,0
24-037,71.43%,1,8,0,0,95,0
24-038,71.43%,0,3,0,0,4,0
24-039,99.00%,0,4,0,0,15,0
24-040,99.00%,0,15,0,0,136,0
24-041,50.00%,0,16,0,0,21,0
24-042,50.00%,0,26,0,1,44,0
24-043,50.00%,0,12,0,0,81,0
24-044,99.00%,0,8,0,0,97,0
24-045,54.55%,0,41,0,0,165,0
24-046,99.00%,2,100,0,2,362,0
24-047,54.55%,0,17,0,0,99,0
24-048,99.00%,0,0,0,0,17,0
24-049,99.00%,0,27,1,0,160,0
24-050,54.55%,2,63,0,0,107,0
24-051,99.00%,0,4,0,0,71,0
24-052,50.00%,0,30,0,0,93,0
24-053,50.00%,0,21,0,0,110,0
24-054,50.00%,0,16,0,0,120,0
24-055,50.00%,0,9,0,1,83,0
24-056,99.00%,0,0,0,0,1,0
24-057,99.00%,0,31,0,0,167,1
24-058,99.00%,0,2,0,0,34,0
24-059,99.00%,1,21,1,0,129,0
24-060,99.00%,0,5,0,0,29,0
24-061,99.00%,0,39,0,0,136,0
24-062,50.00%,0,9,0,1,111,0
24-063,99.00%,0,24,0,0,142,0
24-064,99.00%,1,50,0,0,198,0
24-065,60.00%,0,26,0,0,53,0
24-066,60.00%,0,14,1,0,89,1
24-067,54.55%,1,47,0,0,92,0
24-068,99.00%,0,27,0,0,93,0
24-069,99.00%,0,19,1,0,101,1
24-070,54.55%,0,38,0,0,112,0
24-071,99.00%,0,54,0,0,123,0
24-072,99.00%,0,30,0,0,122,0
24-073,99.00%,0,45,0,1,144,0
24-074,99.00%,1,30,0,0,195,1
24-075,99.00%,0,43,0,0,132,0
24-076,99.00%,0,133,0,0,373,0
24-077,99.00%,0,131,1,0,357,0
24-078,99.00%,0,69,0,5,306,0
24-079,99.00%,0,34,0,0,114,0
24-080,99.00%,0,0,0,0,0,0
24-081,99.00%,0,0,0,0,0,0
24-082,99.00%,0,0,0,0,0,0
24-083,99.00%,0,0,0,0,0,0
24-084,99.00%,1,144,1,2,257,1
24-085,54.55%,0,25,1,0,113,1
24-086,99.00%,0,74,1,0,203,0
24-087,99.00%,0,53,0,0,133,0
24-088,99.00%,0,24,0,0,85,0
24-089,99.00%,2,119,1,0,122,0
24-090,99.00%,0,26,0,0,49,0
24-091,90.00%,0,51,0,0,102,0
25-001,99.00%,0,51,2,1,60,0
25-002,99.00%,0,14,0,0,17,0
25-003,99.00%,1,30,0,0,89,0
25-004,99.00%,0,42,0,0,89,0
25-005,99.00%,0,19,0,0,10,0
25-006,99.00%,0,53,0,0,88,0
25-007,99.00%,1,43,1,0,120,0
25-008,99.00%,0,84,0,0,77,0
25-009,99.00%,0,23,0,0,24,0
25-010,99.00%,0,42,0,0,22,0
25-011,99.00%,0,104,0,2,64,0
25-012,99.00%,0,77,0,0,38,0
25-013,99.00%,0,80,0,0,79,0
25-014,99.00%,1,74,0,0,65,0
25-015,99.00%,0,53,0,1,72,0
25-016,44.44%,0,28,0,0,52,0
25-017,44.44%,0,31,0,0,104,0
25-018,44.44%,0,27,0,0,103,0
25-019,44.44%,0,33,0,0,123,0
25-020,44.44%,0,36,0,0,104,0
25-021,99.00%,1,43,0,0,70,0
25-022,99.00%,0,39,1,0,139,0
25-023,99.00%,0,26,0,0,90,0
25-024,99.00%,0,23,1,0,69,0
25-025,99.00%,3,212,3,0,225,0
25-026,99.00%,0,4,0,0,18,0
25-027,99.00%,0,117,0,1,100,0
25-028,99.00%,1,126,0,0,148,0
25-029,99.00%,0,104,2,2,167,0
25-030,99.00%,1,65,0,0,147,0
25-031,99.00%,1,37,0,0,171,0
25-032,99.00%,0,55,1,1,73,0
25-033,77.78%,0,52,0,0,90,0
25-034,99.00%,0,10,0,0,6,0
25-035,77.78%,0,83,0,1,114,0
25-036,77.78%,0,81,1,0,114,0
25-037,77.78%,0,72,0,2,114,0
25-038,66.67%,0,39,0,0,55,0
25-039,66.67%,0,34,0,0,55,0
25-040,99.00%,2,79,0,0,92,0
25-041,99.00%,0,54,0,1,76,0
25-042,66.67%,0,16,0,0,25,0
25-043,99.00%,1,253,3,2,306,4
25-044,99.00%,0,30,0,0,79,0
25-045,99.00%,0,31,0,0,97,0
25-046,99.00%,1,38,1,0,90,0
25-047,99.00%,2,163,0,1,182,1
25-048,99.00%,1,142,2,2,195,0
25-049,99.00%,1,142,3,3,276,0
25-050,99.00%,0,151,0,1,254,4
25-051,99.00%,0,163,1,1,228,1
25-052,99.00%,1,114,2,1,182,0
25-053,99.00%,1,145,0,1,226,0
25-054,99.00%,1,91,0,1,294,0
25-055,99.00%,0,104,1,1,137,0
25-056,99.00%,0,112,1,1,178,0
25-057,87.50%,0,42,0,0,80,0
25-058,99.00%,1,240,1,2,286,1
25-059,99.00%,1,43,0,0,75,0
25-060,50.00%,0,54,0,2,47,0
25-061,99.00%,1,52,0,1,93,1
25-062,99.00%,1,50,0,0,138,0
25-063,99.00%,1,46,0,1,116,1
25-064,99.00%,0,50,0,0,97,0
25-065,99.00%,1,49,0,0,110,0
25-066,99.00%,0,15,0,0,7,1
25-067,99.00%,0,0,0,0,0,0
25-068,99.00%,0,136,0,2,167,0
25-069,99.00%,0,69,1,0,22,0
25-070,99.00%,0,12,0,0,36,1
25-071,44.44%,0,17,0,0,69,0
25-072,99.00%,0,24,1,0,56,0
25-073,99.00%,0,71,0,0,131,0
25-074,99.00%,0,90,5,0,152,0
25-075,44.44%,0,60,0,1,56,0
25-076,99.00%,0,43,0,0,40,0
25-077,99.00%,0,44,0,0,43,0
25-078,77.78%,0,81,0,0,58,0
25-079,66.67%,0,10,0,0,22,0
26-001,99.00%,1,60,0,0,35,0
26-002,99.00%,0,26,0,0,20,0
26-003,99.00%,2,96,0,2,113,0
26-004,99.00%,0,108,0,0,121,0
26-005,99.00%,0,88,0,0,90,0
26-006,99.00%,0,146,1,0,145,0
26-007,72.73%,0,94,3,0,59,0
26-008,99.00%,3,212,1,1,223,2
26-009,99.00%,1,256,1,2,196,0
26-010,72.73%,1,107,2,0,143,0
26-011,72.73%,1,144,1,0,93,0
26-012,72.73%,0,153,0,0,129,1
26-013,66.67%,0,129,0,1,86,0
26-014,66.67%,0,171,0,0,65,0
26-015,66.67%,0,122,0,1,188,0
26-016,66.67%,2,131,0,0,182,0
26-017,66.67%,1,149,0,0,118,0
26-018,66.67%,0,200,0,2,86,0
26-019,99.00%,1,71,0,0,94,0
26-020,99.00%,2,108,0,3,226,0
26-021,99.00%,0,100,0,0,177,0
26-022,99.00%,2,135,1,0,169,0
26-023,99.00%,1,91,0,1,173,0
26-024,99.00%,2,75,0,1,154,0
26-025,99.00%,0,78,0,1,116,0
26-026,99.00%,0,61,1,0,178,0
26-027,99.00%,0,114,0,1,160,0
26-028,99.00%,2,153,1,0,147,0
26-029,88.89%,1,75,0,1,119,0
26-030,99.00%,0,148,0,1,205,0
26-031,99.00%,4,155,0,1,183,0
26-032,99.00%,1,37,1,0,83,0
26-033,99.00%,0,43,1,0,80,0
26-034,88.89%,0,57,0,1,107,0
26-035,88.89%,1,81,0,0,76,0
26-036,99.00%,0,19,0,1,67,0
26-037,99.00%,0,72,0,0,80,0
26-038,99.00%,0,15,1,0,14,0
26-039,99.00%,0,38,0,0,141,0
26-040,99.00%,0,52,0,0,57,0
26-041,99.00%,0,9,0,0,25,0
26-042,99.00%,0,69,0,0,88,0
26-043,99.00%,0,71,0,0,45,0
26-044,99.00%,0,40,0,2,57,0
26-045,99.00%,0,54,1,1,122,1
26-046,99.00%,0,71,0,0,147,1
26-047,99.00%,1,77,0,0,119,0
26-048,99.00%,1,81,1,0,117,1
26-049,99.00%,0,77,0,1,114,0
26-050,99.00%,1,104,0,0,171,0
26-051,99.00%,0,104,0,0,98,0
26-052,99.00%,3,80,0,0,157,0
26-053,99.00%,1,203,0,0,327,1
26-054,99.00%,0,87,0,0,166,0
26-055,99.00%,2,98,0,1,131,0
26-056,99.00%,2,50,0,3,93,0
26-057,99.00%,0,71,0,1,120,0
26-058,99.00%,2,207,3,1,200,1
26-059,99.00%,0,111,0,1,137,0
26-060,99.00%,0,131,0,0,195,2
26-061,99.00%,8,254,1,1,263,0
26-062,99.00%,1,235,2,1,286,1
26-063,99.00%,2,242,1,0,288,0
26-064,99.00%,0,213,1,1,238,1
26-065,99.00%,0,100,2,1,143,0
26-066,99.00%,3,196,0,3,251,0
26-067,99.00%,0,231,1,2,183,1
26-068,99.00%,2,364,2,4,175,0
26-069,99.00%,1,190,2,0,195,1
26-070,99.00%,4,229,0,3,344,0
26-071,99.00%,0,51,0,0,134,1
26-072,99.00%,1,85,0,1,179,0
26-073,99.00%,0,40,0,0,122,0
26-074,99.00%,2,41,1,2,142,0
26-075,99.00%,0,78,0,2,150,0
26-076,99.00%,0,56,0,0,104,0
26-077,66.67%,0,0,0,0,0,0
26-078,99.00%,0,0,0,0,0,0
26-079,99.00%,1,71,0,0,68,0
26-080,99.00%,1,223,3,1,207,1
26-081,99.00%,3,284,1,1,211,0
26-082,99.00%,1,99,0,0,127,0
26-083,99.00%,1,110,4,0,110,0
26-084,99.00%,0,40,0,0,140,0
26-085,99.00%,0,65,0,0,110,0
27-001,50.00%,1,147,0,2,30,0
27-002,60.00%,0,18,0,0,65,0
27-003,99.00%,1,129,0,1,228,0
27-004,99.00%,0,97,1,0,177,0
27-005,60.00%,0,64,0,0,146,0
27-006,99.00%,2,140,1,7,389,0
27-007,99.00%,2,117,0,3,327,0
27-008,99.00%,0,97,1,1,321,0
27-009,99.00%,4,121,3,0,411,1
27-010,99.00%,0,2,0,0,11,0
27-011,99.00%,0,24,2,0,148,0
27-012,99.00%,1,150,1,3,313,1
27-013,99.00%,3,145,3,0,364,1
27-014,87.50%,0,52,0,0,246,0
27-015,99.00%,0,87,3,3,346,0
27-016,54.55%,0,79,1,1,207,0
27-017,50.00%,0,30,0,0,53,0
27-018,99.00%,0,5,0,1,26,0
27-019,99.00%,0,34,1,0,138,0
27-020,99.00%,0,57,2,3,221,0
27-021,75.00%,0,21,0,0,179,0
27-022,99.00%,0,169,1,3,176,0
27-023,66.67%,0,237,0,0,91,0
27-024,50.00%,0,137,0,0,76,0
27-025,50.00%,2,153,0,0,23,0
27-026,87.50%,1,114,0,0,31,0
27-027,99.00%,0,61,0,0,14,0
27-028,99.00%,1,72,0,0,107,0
27-029,99.00%,0,21,0,0,122,0
27-030,50.00%,2,94,0,1,41,0
27-031,83.33%,0,5,0,0,20,0
27-032,99.00%,0,6,0,1,16,0
27-033,99.00%,0,6,0,0,9,0
27-034,83.33%,0,36,0,0,77,0
27-035,83.33%,0,33,0,0,125,0
27-036,87.50%,1,65,1,0,71,0
27-037,50.00%,0,39,0,0,197,0
27-038,50.00%,0,30,0,1,133,0
27-039,50.00%,0,17,0,1,151,0
27-040,99.00%,0,29,1,2,182,0
27-041,99.00%,1,20,0,2,149,0
27-042,87.50%,1,103,0,1,190,0
27-043,99.00%,0,31,0,1,61,0
27-044,87.50%,1,61,0,0,142,0
27-045,87.50%,1,54,0,1,202,0
27-046,99.00%,0,56,0,0,47,0
27-047,99.00%,1,60,0,0,128,0
27-048,99.00%,0,93,0,0,68,0
27-049,99.00%,0,123,0,0,106,0
27-050,99.00%,0,110,0,0,68,0
27-051,66.67%,0,225,1,0,87,0
27-052,99.00%,0,114,0,0,146,1
27-053,99.00%,0,157,0,0,75,0
27-054,99.00%,0,119,0,1,98,0
27-055,99.00%,0,145,0,1,222,2
27-056,99.00%,0,24,0,0,72,0
27-057,99.00%,0,105,0,0,13,0
27-058,99.00%,0,0,0,0,0,0
27-059,99.00%,0,46,1,0,47,0
27-060,99.00%,0,36,0,0,62,0
27-061,99.00%,0,45,0,0,71,0
27-062,99.00%,0,40,0,0,87,0
27-063,99.00%,0,28,0,0,98,0
27-064,99.00%,0,42,0,0,90,0
27-065,99.00%,1,53,0,0,71,0
27-066,99.00%,0,56,0,0,111,0
27-067,99.00%,0,34,0,0,67,0
27-068,99.00%,0,40,0,0,72,0
27-069,99.00%,0,0,0,0,0,0
27-070,99.00%,0,0,0,0,0,0
27-071,75.00%,0,0,0,0,0,0
27-072,99.00%,0,0,0,0,0,0
27-073,99.00%,0,0,0,0,0,0
27-074,99.00%,0,0,0,0,0,0
27-075,99.00%,0,0,0,0,0,0
27-076,66.67%,0,0,0,0,0,0
27-077,99.00%,0,0,0,0,0,0
27-078,99.00%,0,0,0,0,0,0
27-079,99.00%,0,49,0,0,87,0
27-080,50.00%,0,46,2,0,90,0
27-081,99.00%,0,48,0,1,59,0
27-082,60.00%,0,14,1,0,57,0
27-083,60.00%,0,82,1,0,161,0
27-084,50.00%,1,21,0,0,87,0
27-085,99.00%,0,19,0,2,134,0
27-086,99.00%,0,94,1,1,58,0
27-087,99.00%,0,53,0,0,85,0
27-088,99.00%,1,62,2,2,157,0
27-089,99.00%,2,65,0,0,21,0
28-001,99.00%,0,14,0,0,53,0
28-002,99.00%,0,13,0,0,37,0
28-003,99.00%,0,29,0,0,114,0
28-004,99.00%,0,9,0,0,37,0
28-005,99.00%,0,12,0,0,54,0
28-006,99.00%,6,163,4,4,224,0
28-007,99.00%,2,25,0,0,75,0
28-008,99.00%,0,19,0,0,15,0
28-009,99.00%,0,42,0,1,76,0
28-010,99.00%,2,88,1,3,130,0
28-011,99.00%,0,65,0,0,159,0
28-012,99.00%,0,82,0,1,196,0
28-013,99.00%,0,7,0,0,7,0
28-014,99.00%,1,67,0,1,162,0
28-015,99.00%,1,161,0,1,163,0
28-016,99.00%,2,232,0,0,147,0
28-017,99.00%,1,179,3,0,171,1
28-018,87.50%,0,14,1,1,64,0
28-019,58.33%,0,48,1,1,154,0
28-020,58.33%,0,56,1,1,211,0
28-021,58.33%,0,45,0,0,78,0
28-022,58.33%,0,47,0,0,171,0
28-023,58.33%,0,35,1,0,256,0
28-024,99.00%,0,41,1,1,173,0
28-025,99.00%,1,159,5,2,353,0
28-026,58.33%,0,38,0,1,133,0
28-027,58.33%,1,28,0,0,96,0
28-028,99.00%,1,44,1,0,172,0
28-029,75.00%,0,31,0,1,187,0
28-030,75.00%,0,26,0,0,120,0
28-031,99.00%,1,39,0,1,178,0
28-032,75.00%,0,42,0,0,58,0
28-033,99.00%,0,4,0,0,2,0
28-034,99.00%,0,14,0,0,26,0
28-035,91.67%,0,58,0,0,150,0
28-036,91.67%,1,40,0,1,196,0
28-037,91.67%,0,35,0,1,133,0
28-038,91.67%,0,25,0,1,115,0
28-039,91.67%,0,22,0,0,104,0
28-040,91.67%,0,39,0,1,141,0
28-041,91.67%,1,50,1,0,92,0
28-042,99.00%,1,72,0,1,230,0
28-043,99.00%,0,84,1,0,136,0
28-044,99.00%,1,38,0,0,97,0
28-045,99.00%,0,57,0,0,125,0
28-046,99.00%,0,58,1,1,119,0
28-047,99.00%,0,43,0,0,176,0
28-048,99.00%,0,46,1,1,164,0
28-049,99.00%,0,50,0,0,73,0
28-050,99.00%,2,99,0,1,164,0
28-051,99.00%,0,114,1,0,137,0
28-052,99.00%,1,110,0,0,28,0
28-053,99.00%,0,147,1,0,102,0
28-054,87.50%,2,124,0,0,155,0
28-055,99.00%,0,69,0,0,54,0
28-056,99.00%,1,102,0,0,220,0
28-057,99.00%,0,62,0,0,103,0
28-058,99.00%,0,78,0,1,134,0
28-059,87.50%,1,9,0,0,18,0
28-060,99.00%,0,45,0,0,92,0
28-061,99.00%,0,111,0,1,108,0
28-062,99.00%,0,67,0,1,78,0
28-063,99.00%,2,38,1,0,102,0
28-064,99.00%,0,33,0,1,70,0
28-065,99.00%,0,72,0,1,103,0
28-066,99.00%,2,50,1,1,167,0
28-067,99.00%,0,38,0,1,117,0
28-068,99.00%,0,57,0,0,126,0
28-069,99.00%,1,33,0,0,140,0
28-070,99.00%,0,231,0,2,217,0
28-071,99.00%,5,369,4,3,237,2
28-072,99.00%,0,102,0,0,75,0
28-073,99.00%,0,142,0,1,93,0
28-074,99.00%,1,81,1,0,69,0
28-075,99.00%,2,114,0,1,139,0
28-076,99.00%,0,493,2,0,209,0
28-077,99.00%,2,454,1,3,250,3
28-078,80.00%,2,94,0,1,159,0
28-079,99.00%,0,0,0,0,0,0
28-080,58.33%,0,30,1,0,39,1
28-081,58.33%,1,40,1,1,169,0
28-082,99.00%,3,307,3,1,194,3
28-083,99.00%,3,97,0,0,104,2
28-084,99.00%,0,49,0,0,82,0
28-085,99.00%,0,60,0,0,11,0
28-086,99.00%,0,29,0,0,83,0
28-087,91.67%,0,35,1,0,117,0
28-088,91.67%,0,33,0,0,93,0
28-089,99.00%,1,49,0,0,88,0
29-001,99.00%,0,19,0,0,137,0
29-002,99.00%,0,18,0,0,150,0
29-003,99.00%,0,86,0,2,482,0
29-004,99.00%,0,45,0,0,259,0
29-005,99.00%,1,41,0,0,200,0
29-006,99.00%,0,8,0,1,127,0
29-007,99.00%,0,2,0,0,17,0
29-008,99.00%,0,9,0,0,82,0
29-009,99.00%,2,114,0,0,336,1
29-010,99.00%,0,117,0,0,288,0
29-011,99.00%,0,31,0,1,83,0
29-012,99.00%,0,12,0,0,179,0
29-013,99.00%,0,20,0,1,104,0
29-014,99.00%,0,8,0,0,144,0
29-015,99.00%,1,62,0,0,361,0
29-016,99.00%,0,67,0,3,267,0
29-017,99.00%,0,19,0,1,109,0
29-018,99.00%,0,12,0,1,248,0
29-019,99.00%,1,27,0,0,227,0
29-020,99.00%,0,8,0,0,203,0
29-021,99.00%,0,6,0,0,234,0
29-022,99.00%,0,3,0,0,229,0
29-023,81.82%,1,5,0,0,220,0
29-024,81.82%,0,4,0,0,235,0
29-025,81.82%,0,5,1,0,211,0
29-026,81.82%,0,6,0,0,241,0
29-027,99.00%,0,14,0,0,320,1
29-028,99.00%,0,13,0,0,383,0
29-029,99.00%,2,17,0,0,458,0
29-030,99.00%,2,17,3,1,458,1
29-031,99.00%,0,4,0,0,221,1
29-032,99.00%,1,17,0,0,489,0
29-033,99.00%,0,10,1,0,364,0
29-034,99.00%,1,11,0,1,341,0
29-035,90.00%,0,7,0,1,172,0
29-036,99.00%,0,20,0,0,131,0
29-037,99.00%,0,12,2,0,144,0
29-038,99.00%,0,20,2,0,158,0
29-039,99.00%,0,9,0,0,108,0
29-040,99.00%,0,3,1,0,220,1
29-041,99.00%,0,8,1,0,244,0
29-042,99.00%,0,3,0,0,140,0
29-043,99.00%,0,2,0,0,189,0
29-044,99.00%,0,4,0,0,254,0
29-045,99.00%,0,9,0,0,249,0
29-046,99.00%,0,29,0,1,437,0
29-047,99.00%,0,28,0,1,417,0
29-048,99.00%,0,32,0,2,416,0
29-049,99.00%,0,38,0,1,507,1
29-050,99.00%,1,0,0,0,249,0
29-051,99.00%,0,11,0,0,300,0
29-052,99.00%,0,4,1,1,261,0
29-053,99.00%,0,4,1,0,235,0
29-054,99.00%,1,10,0,1,296,0
29-055,99.00%,0,4,0,0,339,0
29-056,99.00%,0,2,0,0,216,0
29-057,99.00%,0,2,0,2,278,0
29-058,99.00%,0,6,0,0,263,0
29-059,99.00%,0,6,0,0,285,0
29-060,99.00%,1,8,2,0,343,0
29-061,99.00%,0,8,0,0,328,0
29-062,99.00%,0,9,1,0,258,0
29-063,99.00%,0,2,0,0,267,0
29-064,99.00%,0,2,1,0,177,0
29-065,99.00%,1,8,0,1,265,0
29-066,99.00%,0,6,0,1,297,0
29-067,99.00%,0,4,0,0,257,0
29-068,99.00%,0,6,0,0,251,0
29-069,99.00%,1,3,0,1,141,0
29-070,99.00%,0,16,0,0,220,0
29-071,99.00%,0,3,0,0,166,0
29-072,99.00%,0,69,3,2,355,0
29-073,99.00%,0,9,0,0,82,0
29-074,99.00%,0,19,0,0,281,0
29-075,99.00%,0,11,1,0,332,0
29-076,99.00%,0,34,0,0,175,0
29-077,99.00%,0,2,1,0,165,0
29-078,99.00%,0,31,2,0,398,2
29-079,99.00%,0,2,1,0,301,0
29-080,99.00%,0,9,0,2,251,0
30-001,99.00%,0,48,0,0,83,0
30-002,99.00%,0,203,0,0,257,0
30-003,99.00%,0,15,0,0,12,0
30-004,99.00%,4,298,2,1,257,2
30-005,99.00%,4,410,1,3,206,1
30-006,99.00%,1,434,0,1,226,0
30-007,99.00%,4,360,1,4,284,1
30-008,99.00%,1,387,1,2,211,2
30-009,99.00%,0,142,0,0,78,0
30-010,99.00%,0,201,1,2,171,0
30-011,99.00%,1,201,0,3,169,0
30-012,99.00%,1,96,0,0,113,1
30-013,90.00%,4,277,0,2,281,1
30-014,99.00%,2,380,2,3,205,1
30-015,99.00%,1,444,3,2,185,0
30-016,90.00%,2,297,3,1,215,0
30-017,80.00%,0,147,1,0,116,1
30-018,80.00%,0,125,0,0,100,0
30-019,90.00%,0,5,0,0,7,0
30-020,99.00%,0,112,1,1,97,0
30-021,66.67%,0,82,0,0,112,0
30-022,66.67%,0,58,0,1,98,0
30-023,71.43%,2,86,1,1,104,0
30-024,71.43%,0,125,0,1,127,0
30-025,71.43%,0,65,0,0,88,0
30-026,66.67%,0,99,0,0,98,0
30-027,66.67%,1,74,0,0,134,0
30-028,71.43%,0,1,0,0,0,0
30-029,66.67%,0,8,0,0,2,0
30-030,66.67%,1,78,0,1,160,1
30-031,66.67%,2,45,1,0,68,0
30-032,99.00%,0,16,1,0,68,1
30-033,99.00%,0,33,0,0,46,0
30-034,99.00%,0,0,0,0,4,0
30-035,61.54%,0,1,0,0,4,0
30-036,71.43%,0,42,0,0,68,1
30-037,71.43%,0,62,0,0,127,0
30-038,99.00%,0,25,1,1,213,0
30-039,99.00%,0,36,0,0,95,0
30-040,99.00%,1,28,1,1,72,0
30-041,99.00%,0,12,0,1,78,0
30-042,99.00%,0,40,0,0,112,0
30-043,99.00%,0,33,0,0,120,0
30-044,99.00%,1,29,0,4,125,0
30-045,99.00%,0,29,0,0,142,0
30-046,99.00%,0,41,1,0,228,0
30-047,99.00%,0,28,1,0,156,0
30-048,99.00%,1,51,0,4,207,1
30-049,99.00%,0,32,1,2,199,0
30-050,99.00%,4,143,5,3,398,0
